track_spotifyID,artist_spotifyID,artist_mbid,artist_name,artist_fychart_name,track_url,track_popularity,track_duration_ms,track_is_local,albumID,album_track_number,album_release_date,album_type
0Q8aQ6xUAFOGCd0vR32FPf,2yPprAQlrIQWu60g09B9MZ,59466d51-6806-41d2-86cc-2cb33630bb39,Swarmz,Da Beatfreakz,https://open.spotify.com/track/0Q8aQ6xUAFOGCd0vR32FPf,61,177440,FALSE,4LcHmOy7GtRqEeqIz1Ii12,1,07/05/2019,single
0Q8aQ6xUAFOGCd0vR32FPf,4q6hTJmeYXCwp0ivdtoSWA,9eae7149-852d-49e9-8c44-e5469fed242b,Dappy,Da Beatfreakz,https://open.spotify.com/track/0Q8aQ6xUAFOGCd0vR32FPf,61,177440,FALSE,4LcHmOy7GtRqEeqIz1Ii12,1,07/05/2019,single
2SrmfgqD2XNtu9zeBt9FtR,2p1fiYHYiXz9qi0JJyxBzN,38474d18-9204-4f60-a137-1fcc6750b869,Skepta,Skepta,https://open.spotify.com/track/2SrmfgqD2XNtu9zeBt9FtR,53,171333,FALSE,2ed31HN5jFXboZv8xayMS9,1,08/05/2019,single
4YhN72dRYL2Z3MsaKyT7rS,1Cs0zKBU1kc0i8ypK3B9ai,302bd7b9-d012-4360-897a-93b00c855680,David Guetta,David Guetta,https://open.spotify.com/track/4YhN72dRYL2Z3MsaKyT7rS,72,185942,FALSE,581MrXg5n979mmvZaC6AOE,1,09/05/2019,single
4YhN72dRYL2Z3MsaKyT7rS,5KKpBU5eC2tJDzf0wmlRp2,8be564c3-dfba-440b-af8c-4ffbceeef45e,RAYE,David Guetta,https://open.spotify.com/track/4YhN72dRYL2Z3MsaKyT7rS,72,185942,FALSE,581MrXg5n979mmvZaC6AOE,1,09/05/2019,single
4XZxalvnG4Yo8YZLuiT1kV,1vCWHaC5f2uS3yhpwWbIA6,c85cfd6b-b1e9-4a50-bd55-eb725f04f7d5,Avicii,Avicii,https://open.spotify.com/track/4XZxalvnG4Yo8YZLuiT1kV,16,191248,FALSE,7pPkJdlgblZLbv3LqifNKW,1,09/05/2019,single
4XZxalvnG4Yo8YZLuiT1kV,6SsTlCsuCYleNza6xGwynu,54e93235-2034-478d-b47b-a985828193b7,Agnes,Avicii,https://open.spotify.com/track/4XZxalvnG4Yo8YZLuiT1kV,16,191248,FALSE,7pPkJdlgblZLbv3LqifNKW,1,09/05/2019,single
4XZxalvnG4Yo8YZLuiT1kV,2fVW2ix4ANKiofDZIsy1XR,f116576e-8b07-47e9-ae30-6e70d7952abd,Vargas & Lagola,Avicii,https://open.spotify.com/track/4XZxalvnG4Yo8YZLuiT1kV,16,191248,FALSE,7pPkJdlgblZLbv3LqifNKW,1,09/05/2019,single
0u2P5u6lvoDfwTYjAADbn4,6qqNVTkY8uBg9cP3Jd7DAH,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,Billie Eilish,Billie Eilish,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,89,200185,FALSE,2sBB17RXTamvj7Ncps15AK,1,19/04/2018,single
0u2P5u6lvoDfwTYjAADbn4,6LuN9FCkKOj5PcnpouEgny,28737730-ec70-4da5-89c5-77ac13c5c34d,Khalid,Billie Eilish,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,89,200185,FALSE,2sBB17RXTamvj7Ncps15AK,1,19/04/2018,single
15xWRPHQMeqgdkGzInx3PY,4IWBUUAFIplrNtaOHcJPRM,56f62fe8-d3a0-46e0-b5df-a64a8b4b4274,James Arthur,James Arthur,https://open.spotify.com/track/15xWRPHQMeqgdkGzInx3PY,78,212720,FALSE,6Vd7ZTFfhrtPuiQIqEN8XU,1,10/05/2019,single
0mKs1tMPvyVVh0Vb25IYq2,1VJ0briNOlXRtJUAzoUJdt,886dc0c9-3351-4d2d-b762-060cf1e66929,FISHER,FISHER,https://open.spotify.com/track/0mKs1tMPvyVVh0Vb25IYq2,59,206587,FALSE,4Ay7sLXxJO8sPhOyNlmP1P,1,09/05/2019,single
6PCUP3dWmTjcTtXY02oFdT,6eUKZXaKkcviH0Ku9w2n3V,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Ed Sheeran,Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,77,261153,FALSE,3T4tUhGYeRNVUGevb0wThu,2,03/03/2017,album
0SHe3bDl9wXWh9LSExKWMb,1sLYZv95ZXwVfyGHan5w45,3d551d86-c970-4c0d-90b6-b9f0b9eb2943,Jaykae,Jaykae,https://open.spotify.com/track/0SHe3bDl9wXWh9LSExKWMb,57,173934,FALSE,3tytjxvis2l9kMtflIwC8B,1,01/05/2019,single
0SHe3bDl9wXWh9LSExKWMb,2PJEagPIxaBugeMjIyKVXF,57dd4661-9f78-4442-8836-482fab983008,Aitch,Jaykae,https://open.spotify.com/track/0SHe3bDl9wXWh9LSExKWMb,57,173934,FALSE,3tytjxvis2l9kMtflIwC8B,1,01/05/2019,single
0SHe3bDl9wXWh9LSExKWMb,4GxYGToQxKHKTl4HDNsOkE,,Bowzer Boss,Jaykae,https://open.spotify.com/track/0SHe3bDl9wXWh9LSExKWMb,57,173934,FALSE,3tytjxvis2l9kMtflIwC8B,1,01/05/2019,single
1c0hsvHLELX6y8qymnpLKL,47MpMsUfWtgyIIBEFOr4FE,cabbb345-e61c-4e80-a0a8-a3beb2823851,Lunay,Lunay,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL,81,266086,FALSE,2m9Vuc9Q19qhSm6RQmBgsR,1,10/05/2019,single
