"time_id","type_id","start_time_id","no_of_events"
"201910",1,"1400",5
"201910",1,"1500",3
"201910",1,"1730",1
"201910",1,"1800",5
"201910",1,"1830",60
"201910",1,"1900",12
"201910",1,"1930",8
"201910",1,"2000",4
"201910",1,"2200",3
"201910",1,"2300",4
"201911",1,"0000",258
"201911",1,"1100",19
"201911",1,"1230",24
"201911",1,"1300",4
"201911",1,"1400",1
"201911",1,"1500",4
"201911",1,"1530",4
"201911",1,"1600",10
"201911",1,"1730",9
"201911",1,"1800",2
"201911",1,"1830",5
"201911",1,"1900",43
"201911",1,"1930",9
"201911",1,"2000",2
"201911",1,"2300",1
"201912",1,"0000",71
"201912",1,"1200",3
"201912",1,"1400",8
"201912",1,"1700",10
"201912",1,"1830",3
"201912",1,"1900",5
"201912",1,"2000",2
"201912",1,"2130",3
"201912",1,"2200",2
"202001",1,"0000",167
"202001",1,"1800",26
"202001",1,"1830",4
"202001",1,"1900",8
"202001",1,"1930",4
"202002",1,"0000",137
"202002",1,"1430",5
"202002",1,"1900",4
"202002",1,"1930",2
"201903",2,"0000",928
"201903",2,"0200",1
"201903",2,"0700",2
"201903",2,"0745",1
"201903",2,"0900",1
"201903",2,"0930",4
"201903",2,"1000",2
"201903",2,"1030",1
"201903",2,"1100",4
"201903",2,"1200",22
"201903",2,"1230",3
"201903",2,"1245",2
"201903",2,"1300",24
"201903",2,"1330",3
"201903",2,"1400",43
"201903",2,"1430",9
"201903",2,"1500",9
"201903",2,"1530",2
"201903",2,"1600",11
"201903",2,"1630",7
"201903",2,"1700",26
"201903",2,"1715",3
"201903",2,"1730",18
"201903",2,"1800",138
"201903",2,"1815",1
"201903",2,"1830",163
"201903",2,"1845",18
"201903",2,"1900",1391
"201903",2,"1930",724
"201903",2,"1945",5
"201903",2,"2000",283
"201903",2,"2015",1
"201903",2,"2030",25
"201903",2,"2100",52
"201903",2,"2115",3
"201903",2,"2130",15
"201903",2,"2200",102
"201903",2,"2230",27
"201903",2,"2300",103
"201903",2,"2330",3
"201904",2,"0000",892
"201904",2,"0700",3
"201904",2,"0730",1
"201904",2,"0800",5
"201904",2,"0900",2
"201904",2,"1000",3
"201904",2,"1030",1
"201904",2,"1130",5
"201904",2,"1200",40
"201904",2,"1230",9
"201904",2,"1245",3
"201904",2,"1300",21
"201904",2,"1330",1
"201904",2,"1400",22
"201904",2,"1430",4
"201904",2,"1500",10
"201904",2,"1530",3
"201904",2,"1600",14
"201904",2,"1630",2
"201904",2,"1700",12
"201904",2,"1730",15
"201904",2,"1800",170
"201904",2,"1815",2
"201904",2,"1830",127
"201904",2,"1845",9
"201904",2,"1900",1443
"201904",2,"1915",5
"201904",2,"1930",695
"201904",2,"1945",5
"201904",2,"2000",298
"201904",2,"2030",41
"201904",2,"2100",48
"201904",2,"2115",2
"201904",2,"2130",11
"201904",2,"2145",1
"201904",2,"2200",63
"201904",2,"2230",25
"201904",2,"2300",53
"201904",2,"2330",1
"201905",2,"0000",962
"201905",2,"0730",3
"201905",2,"0800",4
"201905",2,"1030",1
"201905",2,"1100",9
"201905",2,"1130",5
"201905",2,"1200",67
"201905",2,"1230",17
"201905",2,"1245",2
"201905",2,"1300",22
"201905",2,"1330",2
"201905",2,"1400",50
"201905",2,"1430",2
"201905",2,"1500",18
"201905",2,"1530",2
"201905",2,"1600",30
"201905",2,"1630",4
"201905",2,"1700",48
"201905",2,"1730",15
"201905",2,"1800",191
"201905",2,"1815",1
"201905",2,"1830",201
"201905",2,"1845",14
"201905",2,"1900",1316
"201905",2,"1915",6
"201905",2,"1930",759
"201905",2,"1945",34
"201905",2,"2000",302
"201905",2,"2030",45
"201905",2,"2100",49
"201905",2,"2115",3
"201905",2,"2130",16
"201905",2,"2145",2
"201905",2,"2200",68
"201905",2,"2230",36
"201905",2,"2300",71
"201906",2,"0000",709
"201906",2,"0100",1
"201906",2,"0200",1
"201906",2,"0300",2
"201906",2,"0330",1
"201906",2,"0630",1
"201906",2,"0730",2
"201906",2,"0800",1
"201906",2,"0900",1
"201906",2,"1000",1
"201906",2,"1030",4
"201906",2,"1100",7
"201906",2,"1140",1
"201906",2,"1200",41
"201906",2,"1230",10
"201906",2,"1245",2
"201906",2,"1300",46
"201906",2,"1330",2
"201906",2,"1400",35
"201906",2,"1430",4
"201906",2,"1500",30
"201906",2,"1530",2
"201906",2,"1535",2
"201906",2,"1600",96
"201906",2,"1630",24
"201906",2,"1700",33
"201906",2,"1730",32
"201906",2,"1745",1
"201906",2,"1800",151
"201906",2,"1815",1
"201906",2,"1830",111
"201906",2,"1845",11
"201906",2,"1900",821
"201906",2,"1915",8
"201906",2,"1930",505
"201906",2,"1945",15
"201906",2,"2000",192
"201906",2,"2030",19
"201906",2,"2050",1
"201906",2,"2100",37
"201906",2,"2115",3
"201906",2,"2130",14
"201906",2,"2145",1
"201906",2,"2200",37
"201906",2,"2230",33
"201906",2,"2300",40
"201906",2,"2330",2
"201906",2,"2345",1
"201907",2,"0000",504
"201907",2,"0700",6
"201907",2,"0730",1
"201907",2,"0800",9
"201907",2,"1000",2
"201907",2,"1100",2
"201907",2,"1130",1
"201907",2,"1200",79
"201907",2,"1230",2
"201907",2,"1300",16
"201907",2,"1330",5
"201907",2,"1400",37
"201907",2,"1430",6
"201907",2,"1500",15
"201907",2,"1530",10
"201907",2,"1600",49
"201907",2,"1630",17
"201907",2,"1700",46
"201907",2,"1715",1
"201907",2,"1800",123
"201907",2,"1815",1
"201907",2,"1830",42
"201907",2,"1845",8
"201907",2,"1900",632
"201907",2,"1915",2
"201907",2,"1930",382
"201907",2,"1945",10
"201907",2,"2000",116
"201907",2,"2030",27
"201907",2,"2100",26
"201907",2,"2130",18
"201907",2,"2145",2
"201907",2,"2200",29
"201907",2,"2230",15
"201907",2,"2300",19
"201907",2,"2330",1
"201907",2,"2359",2
"201908",2,"0000",426
"201908",2,"0200",1
"201908",2,"0700",2
"201908",2,"0800",1
"201908",2,"1000",5
"201908",2,"1030",2
"201908",2,"1100",20
"201908",2,"1130",5
"201908",2,"1200",36
"201908",2,"1245",1
"201908",2,"1300",23
"201908",2,"1330",6
"201908",2,"1400",13
"201908",2,"1430",2
"201908",2,"1445",3
"201908",2,"1500",54
"201908",2,"1530",7
"201908",2,"1535",4
"201908",2,"1600",54
"201908",2,"1610",5
"201908",2,"1630",1
"201908",2,"1700",40
"201908",2,"1715",1
"201908",2,"1730",7
"201908",2,"1745",5
"201908",2,"1800",85
"201908",2,"1815",1
"201908",2,"1820",1
"201908",2,"1830",61
"201908",2,"1845",9
"201908",2,"1900",455
"201908",2,"1915",1
"201908",2,"1930",256
"201908",2,"1945",7
"201908",2,"2000",95
"201908",2,"2030",24
"201908",2,"2040",4
"201908",2,"2045",1
"201908",2,"2100",28
"201908",2,"2115",3
"201908",2,"2130",22
"201908",2,"2200",41
"201908",2,"2215",1
"201908",2,"2230",19
"201908",2,"2240",5
"201908",2,"2300",52
"201908",2,"2330",7
"201909",2,"0000",760
"201909",2,"0100",1
"201909",2,"0630",1
"201909",2,"0730",1
"201909",2,"0900",1
"201909",2,"1000",1
"201909",2,"1100",9
"201909",2,"1130",2
"201909",2,"1200",26
"201909",2,"1230",2
"201909",2,"1300",12
"201909",2,"1330",2
"201909",2,"1400",46
"201909",2,"1430",1
"201909",2,"1500",15
"201909",2,"1530",4
"201909",2,"1545",1
"201909",2,"1600",18
"201909",2,"1630",6
"201909",2,"1700",36
"201909",2,"1730",11
"201909",2,"1745",1
"201909",2,"1800",92
"201909",2,"1830",92
"201909",2,"1845",11
"201909",2,"1900",880
"201909",2,"1915",2
"201909",2,"1930",504
"201909",2,"1945",3
"201909",2,"2000",189
"201909",2,"2030",38
"201909",2,"2100",34
"201909",2,"2130",36
"201909",2,"2200",44
"201909",2,"2230",15
"201909",2,"2300",56
"201910",2,"0000",1133
"201910",2,"0730",2
"201910",2,"1000",2
"201910",2,"1030",3
"201910",2,"1100",6
"201910",2,"1130",4
"201910",2,"1200",29
"201910",2,"1230",9
"201910",2,"1300",27
"201910",2,"1330",9
"201910",2,"1400",40
"201910",2,"1430",4
"201910",2,"1500",12
"201910",2,"1530",4
"201910",2,"1600",23
"201910",2,"1700",42
"201910",2,"1730",20
"201910",2,"1800",132
"201910",2,"1815",1
"201910",2,"1830",235
"201910",2,"1845",16
"201910",2,"1900",1628
"201910",2,"1910",1
"201910",2,"1915",19
"201910",2,"1930",856
"201910",2,"1945",3
"201910",2,"2000",270
"201910",2,"2030",41
"201910",2,"2045",1
"201910",2,"2100",44
"201910",2,"2115",3
"201910",2,"2130",12
"201910",2,"2200",73
"201910",2,"2230",14
"201910",2,"2300",66
"201911",2,"0000",1032
"201911",2,"0700",9
"201911",2,"0730",2
"201911",2,"0800",6
"201911",2,"0830",1
